id,many_generator,time_unlock,item_child_type,item_child_id,rate
600701,5,0,Fruit,700505,2
,,,Fruit,700506,1
,,,SugarAndCandy,700604,2
,,,SugarAndCandy,700605,1
,,,DairyProducts,700302,1
,,,Coffee,700205,2
,,,Coffee,700206,1
,,,SoftDrinks,700304,2
,,,SoftDrinks,700305,1
,,,RedMeat,700905,2
,,,RedMeat,700906,1
,,,EggAndPoultry,701004,2
,,,EggAndPoultry,701005,1
,,,Vegetables,701105,2
,,,Vegetables,701106,1
,,,LeafyVegetables,701204,2
,,,LeafyVegetables,701205,1
,,,Seafood,701305,2
,,,Seafood,701306,1
,,,Shellfish,701404,2
,,,Shellfish,701405,1
600701,5,0,Fruit,700505,2
,,,Fruit,700506,1
,,,SugarAndCandy,700604,2
,,,SugarAndCandy,700605,1
,,,DairyProducts,700302,1
,,,Coffee,700205,2
,,,Coffee,700206,1
,,,SoftDrinks,700304,2
,,,SoftDrinks,700305,1
,,,RedMeat,700905,2
,,,RedMeat,700906,1
,,,EggAndPoultry,701004,2
,,,EggAndPoultry,701005,1
,,,Vegetables,701105,2
,,,Vegetables,701106,1
,,,LeafyVegetables,701204,2
,,,LeafyVegetables,701205,1
,,,Seafood,701305,2
,,,Seafood,701306,1
,,,Shellfish,701404,2
,,,Shellfish,701405,1
