type,level_rate_from
Fruit,5
Nut,3
CocoaBeanDerivatives,1
CoconutWaterProducts,3
CoconutShellProducts,3
SoftDrinks,5
Coffee,5
AdditivesAndGarnishes,5
DairyProducts,5
GlassProduct,5
BeefDerivatives,0
PoultryEgg,5
PorkLamb,5
Vegetables,5
LeafVegetables,5
Fish,5
Shellfish,5
BBQRecipe,5
Grain,5
Dough,3
ClassicAlcohol,5
IconicAlcohol,5
BaggageItems,5
MuseumCollection,5
FrenchRecipe,5
GooseDerivatives,0
FoxInspiredGift,3
JapaneseRecipe,5
SoybeanDerivatives,2
SushiMaker,0
BambooDerivatives,5
FoxPancake,0
MulletDerivatives,1
MusselDerivatives,2
CupofMatcha,0
MatchaPowder,0
ChineseCollectible,5
ChineseRecipe,5
BronzeArtifact,2
ChineseTea,1
RedChiliPepper,0
SpecialtyFruit,2
HotPot,0
SpanishRecipe,5
SpanishCeramics,4
SpanishWoodwork,4
SpanishSpices,0
FlamencoAccessories,1
MexicanRecipe,5
MexicanFolkArt,3
PricklyPearSeries,1
HibiscusFlower,0
LatinFruits,1
MexicanSauces,1
