theme_type,res_type,res_id,res_number,custom_value
Scene_02,Item,10012,1,10012
,Item,10013,2,10013
,Item,18070,7,18070
,Item,18061,2,18061
,Item,18059,1,18059
,Item,18058,2,18058
,Item,18057,2,18057
,Item,1003,1,1003
,Item,2003,2,2003
,Item,3003,5,3003
,Item,10031,1,10031
,Item,10030,2,10030
,Item,10032,1,10032
,Item,10033,1,10033
,Item,4000,1,4000
,Item,10000,2,10000
,Item,10001,1,10001
,Item,10002,1,10002
,Item,10020,2,10020
,Item,10021,1,10021
,Item,10022,1,10022
Scene_03,Item,1003,4,1003
,Item,2002,1,2002
,Item,2003,2,2003
,Item,5000,2,5000
,Item,5001,1,5001
,Item,5002,1,5002
,Item,5003,4,5003
,Item,18070,8,18070
,Item,18057,3,18057
,Item,10003,2,10003
,Item,10013,6,10013
,Item,18058,3,18058
,Item,3003,4,3003
,Item,18059,3,18059
,Item,9000,2,9000
,Item,9001,1,9001
,Item,4003,4,4003
,Item,18060,3,18060
,Item,18061,3,18061
,Item,10023,2,10023
,Item,10033,2,10033
