type_tool,id_result,time_to_cook,item_id,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,tool_name,result_name,ingredient_name,ingredient_tier,ingredient_cat
2001,400201,1,700501,,,,,,,,,,,,,,,,,,,,,,,Juicer,Blueberry Juice,Blueberry,1,Fruit
,400202,2,700502,,,,,,,,,,,,,,,,,,,,,,,,Strawberry Juice,Strawberry,2,Fruit
,400203,4,700503,,,,,,,,,,,,,,,,,,,,,,,,Orange Juice,Orange,3,Fruit
,400204,8,700504,,,,,,,,,,,,,,,,,,,,,,,,Apple Juice,Apple,4,Fruit
,400205,1024,700511,,,,,,,,,,,,,,,,,,,,,,,,Pineapple Juice,Pineapple,11,Fruit
,400206,2048,700512,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Juice,Watermelon,12,Fruit
,400207,65,700501,,,,,,,,,,,,,,,,,,,,,,,,Blueberry Lemon Juice,Blueberry,1,Fruit
,,,700507,,,,,,,,,,,,,,,,,,,,,,,,,Lemon,7,Fruit
,400208,12,700503,,,,,,,,,,,,,,,,,,,,,,,,Orange Apple Juice,Orange,3,Fruit
,,,700504,,,,,,,,,,,,,,,,,,,,,,,,,Apple,4,Fruit
,400209,17,700501,,,,,,,,,,,,,,,,,,,,,,,,Purple Power,Blueberry,1,Fruit
,,,700505,,,,,,,,,,,,,,,,,,,,,,,,,Banana,5,Fruit
,400210,1160,700504,,,,,,,,,,,,,,,,,,,,,,,,Spinach Apple Pineapple Juice,Apple,4,Fruit
,,,700511,,,,,,,,,,,,,,,,,,,,,,,,,Pineapple,11,Fruit
,,,701208,,,,,,,,,,,,,,,,,,,,,,,,,Spinach,8,Leafy Vegetable
,400211,13,700504,,,,,,,,,,,,,,,,,,,,,,,,Detox & Clear Skin,Apple,4,Fruit
,,,701203,,,,,,,,,,,,,,,,,,,,,,,,,Kale,3,Leafy Vegetable
,,,701101,,,,,,,,,,,,,,,,,,,,,,,,,Cucumber,1,Vegetable
,400212,76,700503,,,,,,,,,,,,,,,,,,,,,,,,Boost Immunity & glow,Orange,3,Fruit
,,,700507,,,,,,,,,,,,,,,,,,,,,,,,,Lemon,7,Fruit
,,,701104,,,,,,,,,,,,,,,,,,,,,,,,,Carrot,4,Vegetable
,400213,16,700504,,,,,,,,,,,,,,,,,,,,,,,,Carrot Apple Juice,Apple,4,Fruit
,,,701104,,,,,,,,,,,,,,,,,,,,,,,,,Carrot,4,Vegetable
,400214,76,700504,,,,,,,,,,,,,,,,,,,,,,,,"Apple, Orange & Lemon Juice",Apple,4,Fruit
,,,700503,,,,,,,,,,,,,,,,,,,,,,,,,Orange,3,Fruit
,,,700507,,,,,,,,,,,,,,,,,,,,,,,,,Lemon,7,Fruit
,400215,130,700502,,,,,,,,,,,,,,,,,,,,,,,,Tropical Sunrise,Strawberry,2,Fruit
,,,700508,,,,,,,,,,,,,,,,,,,,,,,,,Passion Fruit,8,Fruit
,400216,69,700502,,,,,,,,,,,,,,,,,,,,,,,,Pink Lemonade,Strawberry,2,Fruit
,,,700507,,,,,,,,,,,,,,,,,,,,,,,,,Lemon,7,Fruit
,,,700602,,,,,,,,,,,,,,,,,,,,,,,,,Sugar,2,Sugar & Candy
,,,700301,,,,,,,,,,,,,,,,,,,,,,,,,Ice Cube,1,Dairy
2002,400101,1,700501,,,,,,,,,,,,,,,,,,,,,,,Chef Counter,Blueberry Jam,Blueberry,1,Fruit
,400102,2,700502,,,,,,,,,,,,,,,,,,,,,,,,Strawberry jam,Strawberry,2,Fruit
,400103,4,700503,,,,,,,,,,,,,,,,,,,,,,,,Orange Marmalade,Orange,3,Fruit
,400104,8,700504,,,,,,,,,,,,,,,,,,,,,,,,Apple Jam,Apple,4,Fruit
,400105,7,700501,,,,,,,,,,,,,,,,,,,,,,,,Yogurt Strawberry Blueberry,Blueberry,1,Fruit
,,,700502,,,,,,,,,,,,,,,,,,,,,,,,,Strawberry,2,Fruit
,,,700303,,,,,,,,,,,,,,,,,,,,,,,,,Yogurt,3,Dairy
,400106,22,700505,,,,,,,,,,,,,,,,,,,,,,,,Yogurt Banana Strawberry,Banana,5,Fruit
,,,700502,,,,,,,,,,,,,,,,,,,,,,,,,Strawberry,2,Fruit
,,,700303,,,,,,,,,,,,,,,,,,,,,,,,,Yogurt,3,Dairy
,400107,309,700505,,,,,,,,,,,,,,,,,,,,,,,,Sunrise Mango Lassi,Banana,5,Fruit
