round_id,required_tokens,bot_completion_time_seconds,total_bots,breakaway_threshold_percent,stop_threshold_percent,random_speed_multiplier_range_bot,random_delay_variation_range,speed_factor_player_leads_far,speed_factor_player_leads_near,speed_factor_player_behind,near_finish_slowdown_factor,reward_type,reward_id,reward_amount,bot_names,bot_avatar_ids,rank,res_type,res_id,res_number,custom_value,mod
0,4,1800,4,0.7,0.95,0.7,0.9,0.7,1,2,3,Money,1,10,Bot1,1,1,Item,94,1,18040,Hard
,,,,,,,,,,,,,,,,,,Item,97,1,18048,
,,,,,,,,,,,,,,,,,,Money,3,20,,
,,,,,,1.3,1.1,,,,,,,,,,2,Money,3,15,,
,,,,,,,,,,,,,,,,,,Item,134,1,18054,
,,,,,,,,,,,,,,,,,3,Money,3,10,,
1,5,1800,4,0.7,0.95,0.7,0.9,0.7,1,2,3,Money,1,10,Bot2,2,1,Item,134,1,18054,Medium
,,,,,,,,,,,,,,,,,,Item,95,1,18043,
,,,,,,,,,,,,,,,,,,Money,6,30,,
,,,,,,1.3,1.1,,,,,,,,,,2,Money,3,15,,
,,,,,,,,,,,,,,,,,,Item,95,1,18042,
,,,,,,,,,,,,,,,,,3,Money,6,15,,
2,9,3600,4,0.7,0.95,0.7,0.9,0.7,1,2,3,Money,1,10,Bot3,3,1,Item,96,1,18046,Easy
,,,,,,,,,,,,,,,,,,Item,97,1,18050,
,,,,,,,,,,,,,,,,,,Item,143,1,18072,
,,,,,,1.3,1.1,,,,,,,,,,2,Item,142,1,18071,
,,,,,,,,,,,,,,,,,,Money,6,15,,
,,,,,,,,,,,,,,,,,3,Money,3,10,,
3,14,3600,4,0.7,0.95,0.7,0.9,0.7,1,2,3,Money,1,10,Bot4,4,1,Item,134,1,18054,Hard
,,,,,,,,,,,,,,,,,,Item,143,1,18072,
,,,,,,,,,,,,,,,,,,Money,3,20,,
,,,,,,1.3,1.1,,,,,,,,,,2,Money,3,15,,
,,,,,,,,,,,,,,,,,,Item,96,1,18045,
,,,,,,,,,,,,,,,,,3,Money,3,10,,
