id,pack_name,res_type,res_id,res_number,bonus,stage_bonus,first_time_purchase_bonus,purchase_type,purchase_count,iap_cost,cost_type,cost_id,cost_number,sale,google_product_id,google_product_id_premium,apple_product_id
1,gold_pack_1,Money,1,1500,0,0,0,IAP,1,2.99,,,,,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_1,,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_1
2,gold_pack_2,Money,1,5500,0,0,0,IAP,1,9.99,,,,10,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_2,,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_2
3,gold_pack_3,Money,1,12000,0,0,0,IAP,1,19.99,,,,20,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_3,,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_3
4,gold_pack_4,Money,1,35000,0,0,0,IAP,1,49.99,,,,40,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_4,,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_4
5,gold_pack_5,Money,1,80000,0,0,0,IAP,1,99.99,,,,60,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_5,,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_5
6,gold_pack_6,Money,1,200000,0,0,0,IAP,1,199.99,,,,100,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_6,,com.ezg013.coffeepack.unblock.puzzle.game.gold_pack_6
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,s,,,,,,,
